Diameter,Aspect ratio,X coordinate,Y coordinate,Cluster localizations,channel 1 localizations,channel 2 localizations,channel 3 localizations,channel 1 true mean dark time,channel 1 rSquared true mean dark time,channel 1 mean dark time,channel 1 median dark time,channel 1 SD dark time,channel 1 mean bright time,channel 1 median bright time,channel 1 SD bright time,channel 1 target count,channel 2 true mean dark time,channel 2 rSquared true mean dark time,channel 2 mean dark time,channel 2 median dark time,channel 2 SD dark time,channel 2 mean bright time,channel 2 median bright time,channel 2 SD bright time,channel 2 target count,channel 3 true mean dark time,channel 3 rSquared true mean dark time,channel 3 mean dark time,channel 3 median dark time,channel 3 SD dark time,channel 3 mean bright time,channel 3 median bright time,channel 3 SD bright time,channel 3 target count
312.010890817187,1.60114670373277,5076.82748685102,39419.7676988174,17675,6570,3035,8070,5.63039926509602,0.706101369173985,6.16544117647059,5,3.34021407441914,30.4798534798535,12,49.8701305744016,1138.50832035925,11.6629293034109,0.937704782508955,12.1207547169811,9,9.04371568439523,6.6811320754717,4,8.31232388653266,460.977165011978,8.38563241369598,0.872197707301869,8.73652694610778,7,5.7037332868396,50.4819277108434,12,115.65637311065,1084.10536527468
221.094005243833,1.87625069419899,14.4498584902062,48002.9305063846,1828,1828,0,0,0,0,15.6861471861472,8,35.1147326597499,5.9244060475162,3,10.3616795480051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236.288849844331,1.1192066104134,12616.8393841595,37305.5603014243,17721,6623,2904,8194,6.53772659336869,0.770154951214297,7.10108303249097,6,4.6419517677476,28.884476534296,10,70.2167530086406,980.502368630469,13.098485778361,0.950932557248206,13.6090534979424,11,10.6466896422973,6.90759753593429,4,8.27123055632466,410.455389805695,7.87887456494666,0.844264410044126,8.26027397260274,6,5.35891753676063,59.2808219178082,22,105.805139250102,1153.83345882352
186.872455961911,1.25852158263974,8149.10103318879,41356.7271684478,13626,4321,3189,6116,0,0,9.12633832976445,6,15.5548004015917,12.2435897435897,5,33.798820056227,0,12.6300812502941,0.948015645553294,13.1915789473684,10,10.8093925320042,7.78691983122363,4,9.29541919316424,425.677711764229,9.87056386475135,0.91781587237383,10.4366666666667,8,7.9823795637991,22.7541528239203,10,43.8213725370384,921.012134207806
164.398687604595,1.41883300332783,1312.71484907397,41681.1140935328,917,917,0,0,96.7380750132294,0.991548199907298,123.253521126761,71,165.944114371578,14.6805555555556,1,45.3228874149769,66.2640476294342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283.595444602616,1.28849002051281,2444.04041801138,46430.3004314944,14910,4322,3289,7299,6.93290790408649,0.824285367530714,7.50751879699248,6,4.97923558916193,11.2443609022556,5,25.9109816491759,924.612947256661,11.1567490954881,0.936267440369613,11.5545112781955,9,8.46788762637884,7.21052631578947,4,8.29476056494789,481.891637071567,8.98948939377109,0.89369711794008,9.85365853658537,7,8.16784998112745,38.8926829268293,12,104.887045664175,1011.28203090247
177.25661223755,1.34644063538086,9412.99952165026,33678.5547832654,965,965,0,0,66.6937528277237,0.697500279350587,122.705882352941,41,184.798806194336,17.6376811594203,1,32.2157118291922,96.1147954414068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170.729449761418,1.52754843714867,8060.37620849721,37813.763623112,926,926,0,0,45.7076604285416,0.837159644527049,63.5693430656934,24,85.7121375525659,8.95652173913044,1,20.2646250927363,140.244684373598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188.578015764303,1.02903706477043,2421.55028416757,36751.1451327002,840,840,0,0,46.2287136839056,0.930545719851322,70.1889763779528,26,112.111745011746,7.8203125,1,24.4767070998686,138.663957948026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.780935882019,1.04297132863897,3325.23547873533,38875.8704137034,789,789,0,0,93.1118804680271,0.949784376042185,129.328358208955,61,174.336090255132,13.1764705882353,1,41.8843258455527,68.844667061123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158.018780940729,1.25617350684279,315.357676887011,33340.7101808636,314,314,0,0,46.3168324545782,0.878696288487183,84.9909090909091,25,139.185210609378,3.67567567567568,1,9.05153142458342,138.400146783414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.648839279751,1.1430299882875,3338.94204769704,42014.9044559031,1520,1520,0,0,109.695395418663,0.915154552910335,137.454545454545,65,174.480903994064,31.625,1,119.112408711649,58.4368777357615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.590406388793,1.17823556323634,8950.01726690667,35323.1046821398,919,919,0,0,22.7409610884926,0.826723439832209,56.0653594771242,11,111.668899289173,7.80392156862745,1,14.7273728422931,281.881508231423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.499590879616,1.13796914792029,1715.00862660776,36648.2227968783,1817,1817,0,0,21.2199009578209,0.88177395385702,35.6747572815534,10,66.5969752751163,12,2,32.8541939218181,302.087008935535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185.712412112769,1.34958682018107,9186.24137296257,41040.2618976899,1162,1162,0,0,87.8162683219251,0.86718229086904,104.935897435897,59.5,130.591893281101,17.6075949367089,1,60.5187865982209,72.9962287483805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121.514137360837,1.22402371062324,985.846692227697,43560.8635599366,1077,1077,0,0,55.6971576281393,0.796467923289067,104.4375,32,149.177817924648,15.2962962962963,1,77.4075972441408,115.091266470981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
